time,target_id,name,truth,label,FR,AC,ST,FO,Theta,Delta_H1,Delta_V,Delta_C,Delta_H2,window_size,mean_conflict
560,9,IFF-ST-Return-3,Ally3,AC,0.24375503813560276,0.7203734514094109,0.029294967033537064,0.0023480657485158343,0.00422847767293353,13.0,18.600000000000023,3.1200000000000045,,3,0.2891438539641952
561,0,T1(BGM-109C),,FO,0.0010458671231278651,0.0010552300637286889,0.1063740258169195,0.8880320567008961,0.003492820295327838,82.0,256.79999999999995,83.82,,3,0.2767695093074877
561,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,161.0,232.32000000000005,92.54000000000002,,3,0.234171543343049
561,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3544.0,134.88,144.94,,3,0.234171543343049
561,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,124.03999999999999,,3,0.234171543343049
561,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,128.48000000000002,,3,0.234171543343049
561,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,72.99000000000001,,3,0.234171543343049
561,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.64,,3,0.234171543343049
561,7,IFF-FR-Return-1,Ally1,FR,0.9678661814651661,0.02895100393685679,0.0007597285627292947,0.000649437143489954,0.0017736488917578887,12.0,8.327999999999975,0.9200000000000159,,3,0.23838849026176354
561,8,IFF-AC-Return-2,Ally2,AC,0.023654155237166248,0.9734205892809481,0.0006454328021766023,0.0005846879821209444,0.0016951346975881563,0.0,5.135999999999967,4.6200000000000045,,3,0.23568930213575248
561,9,IFF-ST-Return-3,Ally3,AC,0.16814606819308192,0.7996035645638359,0.026212790378448408,0.002092879235505709,0.003944697629128167,14.0,18.600000000000023,3.1399999999999864,,3,0.2881643938377097
562,0,T1(BGM-109C),,FO,0.0006726592739245307,0.000678863617053466,0.033915719606593654,0.9626962808074938,0.0020364766949345753,94.0,256.79999999999995,83.81,,3,0.24778440065060137
562,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,151.0,232.32000000000005,92.55000000000001,,3,0.234171543343049
562,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3545.0,134.88,145.04000000000002,,3,0.234171543343049
562,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,116.16999999999999,,3,0.234171543343049
562,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,156.23,,3,0.234171543343049
562,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,72.98000000000002,,3,0.234171543343049
562,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.7,,3,0.234171543343049
562,7,IFF-FR-Return-1,Ally1,FR,0.9678661814651661,0.02895100393685679,0.0007597285627292947,0.000649437143489954,0.0017736488917578887,12.0,8.327999999999975,0.9200000000000159,,3,0.23838849026176354
